Name,Sport,Date,Start time,Duration,Total distance (km),Average heart rate (bpm),Average speed (km/h),Max speed (km/h),Average pace (min/km),Max pace (min/km),Calories,Fat percentage of calories(%),Average cadence (rpm),Average stride length (cm),Running index,Training load,Ascent (m),Descent (m),Average power (W),Max power (W),Notes,Height (cm),Weight (kg),HR max,HR sit,VO2max,
Szymon  Żywko ,RUNNING,03/01/2020,19:29:17,11:53:05,449.26,,37.8,129.7,01:35,00:28,1207,68,64,,,0,1305,1158,,,,179.0,62.0,205,65,71,
Sample rate,Time,HR (bpm),Speed (km/h),Pace (min/km),Cadence,Altitude (m),Stride length (m),Distances (m),Temperatures (C),Power (W),
,10:30:07,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:08,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:09,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:10,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:11,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:12,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:13,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:14,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:15,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:16,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:17,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:18,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:19,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:20,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:21,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:22,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:23,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:24,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:25,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:26,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:27,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:28,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:29,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:30,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:31,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:32,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:33,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:34,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:35,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:36,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:37,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:38,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:39,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:40,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:41,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:42,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:43,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:44,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:45,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:46,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:47,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:48,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:49,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:50,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:51,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:52,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:53,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:54,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:55,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:56,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:57,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:58,,0.0,00:00,0,307,,449262.59,23.2,,
,10:30:59,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:00,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:01,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:02,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:03,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:04,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:05,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:06,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:07,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:08,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:09,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:10,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:11,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:12,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:13,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:14,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:15,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:16,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:17,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:18,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:19,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:20,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:21,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:22,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:23,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:24,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:25,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:26,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:27,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:28,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:29,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:30,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:31,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:32,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:33,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:34,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:35,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:36,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:37,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:38,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:39,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:40,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:41,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:42,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:43,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:44,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:45,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:46,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:47,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:48,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:49,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:50,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:51,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:52,,0.0,00:00,0,307,,449262.59,23.2,,
,10:31:53,,0.0,00:00,0,306,,449262.59,23.2,,
,10:31:54,,0.0,00:00,0,306,,449262.59,23.2,,
,10:31:55,,0.0,00:00,0,306,,449262.59,23.2,,
,10:31:56,,0.0,00:00,0,306,,449262.59,23.2,,
,10:31:57,,0.0,00:00,0,306,,449262.59,23.2,,
,10:31:58,,0.0,00:00,0,306,,449262.59,23.2,,
,10:31:59,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:00,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:01,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:02,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:03,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:04,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:05,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:06,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:07,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:08,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:09,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:10,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:11,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:12,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:13,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:14,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:15,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:16,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:17,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:18,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:19,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:20,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:21,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:22,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:23,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:24,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:25,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:26,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:27,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:28,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:29,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:30,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:31,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:32,,0.0,00:00,0,306,,449262.59,23.2,,
,10:32:33,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:34,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:35,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:36,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:37,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:38,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:39,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:40,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:41,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:42,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:43,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:44,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:45,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:46,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:47,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:48,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:49,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:50,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:51,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:52,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:53,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:54,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:55,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:56,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:57,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:58,,0.0,00:00,0,307,,449262.59,23.2,,
,10:32:59,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:00,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:01,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:02,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:03,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:04,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:05,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:06,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:07,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:08,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:09,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:10,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:11,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:12,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:13,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:14,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:15,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:16,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:17,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:18,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:19,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:20,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:21,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:22,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:23,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:24,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:25,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:26,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:27,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:28,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:29,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:30,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:31,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:32,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:33,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:34,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:35,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:36,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:37,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:38,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:39,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:40,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:41,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:42,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:43,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:44,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:45,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:46,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:47,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:48,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:49,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:50,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:51,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:52,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:53,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:54,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:55,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:56,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:57,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:58,,0.0,00:00,0,307,,449262.59,23.2,,
,10:33:59,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:00,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:01,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:02,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:03,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:04,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:05,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:06,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:07,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:08,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:09,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:10,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:11,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:12,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:13,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:14,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:15,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:16,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:17,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:18,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:19,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:20,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:21,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:22,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:23,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:24,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:25,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:26,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:27,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:28,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:29,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:30,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:31,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:32,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:33,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:34,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:35,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:36,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:37,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:38,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:39,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:40,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:41,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:42,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:43,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:44,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:45,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:46,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:47,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:48,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:49,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:50,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:51,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:52,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:53,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:54,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:55,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:56,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:57,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:58,,0.0,00:00,0,307,,449262.59,23.2,,
,10:34:59,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:00,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:01,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:02,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:03,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:04,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:05,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:06,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:07,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:08,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:09,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:10,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:11,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:12,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:13,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:14,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:15,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:16,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:17,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:18,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:19,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:20,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:21,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:22,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:23,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:24,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:25,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:26,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:27,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:28,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:29,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:30,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:31,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:32,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:33,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:34,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:35,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:36,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:37,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:38,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:39,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:40,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:41,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:42,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:43,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:44,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:45,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:46,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:47,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:48,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:49,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:50,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:51,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:52,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:53,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:54,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:55,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:56,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:57,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:58,,0.0,00:00,0,307,,449262.59,23.2,,
,10:35:59,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:00,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:01,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:02,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:03,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:04,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:05,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:06,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:07,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:08,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:09,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:10,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:11,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:12,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:13,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:14,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:15,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:16,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:17,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:18,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:19,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:20,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:21,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:22,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:23,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:24,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:25,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:26,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:27,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:28,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:29,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:30,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:31,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:32,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:33,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:34,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:35,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:36,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:37,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:38,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:39,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:40,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:41,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:42,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:43,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:44,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:45,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:46,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:47,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:48,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:49,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:50,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:51,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:52,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:53,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:54,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:55,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:56,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:57,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:58,,0.0,00:00,0,307,,449262.59,23.2,,
,10:36:59,,0.0,00:00,0,307,,449262.59,23.2,,
,10:37:00,,0.0,00:00,0,307,,449262.59,23.2,,
,10:37:01,,0.0,00:00,0,307,,449262.59,23.2,,
,10:37:02,,0.0,00:00,0,307,,449262.59,23.2,,
,10:37:03,,0.0,00:00,0,307,,449262.59,23.2,,
,10:37:04,,0.0,00:00,0,307,,449262.59,23.2,,
,10:37:05,,0.0,00:00,0,307,,449262.59,23.2,,
,10:37:06,,0.0,00:00,0,307,,449262.59,23.2,,
,10:37:07,,0.0,00:00,0,307,,449262.59,23.2,,
,10:37:08,,0.0,00:00,0,307,,449262.59,23.2,,
,10:37:09,,0.0,00:00,0,307,,449262.59,23.2,,
,10:37:10,,0.0,00:00,0,307,,449262.59,23.2,,
,10:37:11,,0.0,00:00,0,307,,449262.59,23.2,,
,10:37:12,,0.0,00:00,0,307,,449262.59,23.2,,
,10:37:13,,0.0,00:00,0,307,,449262.59,23.2,,
